Latitude,Longitude,Titulo
-23.588726,-46.771511,AT Distribuidora
-3.0644275,-60.0478558,Distribuidora Luan
-4.0909513,-63.1437137,Distribuidora Héctor
-18.8530514,-48.2918192,Far Distribuidora de Alimentos
2.824665,-60.7107772,Parima Distribuidora
-3.0841051,-60.0516757,Distribuidora Pedrão
-4.0943496,-63.141582,Distribuidora Santa Efigênia
-25.4648017,-49.187639,Distribuidora de Alimentos Top Food
-29.9110412,-51.1386837,KEM DISTRIBUIDORA DE ALIMENTOS
-23.6306005,-46.7063454,GNT Brasil Distribuidora de Alimentos
-23.5014316,-46.4450022,Distribuidora de alimentos
-4.0829164,-63.1423511,G. S Distribuidora
-3.3617386,-68.1977304,Distribuidora J Rodrigues
-4.0844601,-63.1405531,Coari Skoll Distribuidora
-3.5788153,-61.4063714,Distribuidora Sílvio Jorge
-4.2337633,-69.9269043,Bar e Distribuidora Garagem
-4.3880818,-70.0280106,Bar e Distribuidora Sereia Azul.
-2.985579,-60.0038588,Dom Pedro Distribuidora
-2.8603215,-67.7719854,Distribuidora RJ
-4.2319625,-69.9430386,Distribuidora Sub 0
-0.9767848,-62.924894,Distribuidora Caneco do Kiko
-4.3815698,-70.0305561,Distribuidora QK
-4.2349739,-69.9375926,Distribuidora Resende
-3.0541822,-59.9919364,Fennix Brasil Distribuidora
-4.3701748,-70.1909823,Distribuidora anthony garotinho
-4.2254085,-69.9368539,DISTRIBUIDORA IMPÉRIO
-4.2312926,-69.9334293,Distribuidora de Bebidas J.S Oliveira
-4.0896365,-63.1441223,Distribuidora do Kaka
-4.0291794,-69.6772551,Distribuidora Multimarcas
-3.365462,-68.1976852,Distribuidora Italo
-2.7504655,-66.7711876,WG DISTRIBUIDORA
-3.1025843,-67.9464151,Distribuidora do Mambira
-0.1298124,-67.0894661,Distribuidora Nogueira
-2.5153645,-66.0973727,Distribuidora 24 Horas
-3.2097218,-64.8149033,Distribuidora OVÍDIO NETO
-3.3523484,-64.7255688,DISTRIBUIDORA ARTHUR
-2.5158258,-66.0926219,Distribuidora G.W
-2.5165811,-66.0961953,Distribuidora Lf
-2.5222495,-66.0917937,Distribuidora e Mercadinho Enaly
-1.8580621,-65.591346,Salão da Joyce e Distribuidora R.M
-4.2017965,-55.4875458,Bar e Distribuidora MC Divinópolis km 70
-2.4371337,-54.7285423,GS Distribuidora
-2.4219687,-54.7241808,DISTRIBUIDORA DE BEBIDAS J&J.
-2.6430225,-56.749952,Canela Comércio e Distribuidora
-2.4545901,-54.7620665,Distribuidora de Bebidas - Happy Hour
-2.6406652,-56.7400453,Império beer distribuidora de bebidas
-2.6366183,-56.7396659,Rio Solimões Distribuidora de Bebidas
-2.4472508,-54.7190684,Distribuidora de Bebidas Caixa D'água
-2.4512878,-54.688719,Distribuidora Dubai
-2.4475676,-54.7132796,Distribuidora de Bebidas Hora do Gelo
-2.4217522,-54.7347012,Distribuidora R ovos
-2.4550589,-54.7524305,Sede Zero Distribuidora de Bebidas
-2.4449794,-54.7182974,Distribuidora Puro Malte
-2.4843031,-54.6832051,JF distribuidora de bebidas
-2.444804,-54.755065,Rian Distribuidora de Bebidas
-2.4490646,-54.713294,Paradise Beer Distribuidora
-4.2689199,-56.0019385,Top Beer Distribuidora
-2.4399764,-54.7235917,Distribuidora DR
-2.6242314,-56.7284285,TH Distribuidora
-2.4614766,-54.7233676,Distribuidora Empório da breja
-2.441633,-54.7032964,D&M Distribuidora
-3.8713497,-54.215399,Distribuidora martins
-2.4597357,-54.7044803,Villa Mix Distribuidora
-2.441891,-54.7428482,Distribuidora de bebidas vieira
-2.4455605,-54.6972575,Bebê Distribuidora
-2.1036602,-56.4926601,DISTRIBUIDORA FLORYNDA
-2.6291287,-56.7400812,Distribuidora Oliveira
-2.4544906,-54.7208749,Distribuidora de bebidas Silva
-2.4554572,-54.7232322,Distribuidora Durães
-2.4511953,-54.761142,BS Distribuidora de Bebidas
-2.4379472,-54.702525,Distribuidora nova fonte
-3.7195424,-53.7420119,Distribuidora e Geleira Sk
-2.4490808,-54.689913,Distribuidora Tô No Trabalho
-3.7208717,-53.7431773,Distribuidora Ponto dos amigos
-2.4262321,-54.7043568,Mega Distribuidora
-2.485886,-54.6771409,Distribuidora Masa
-2.4193007,-54.7228164,Gval Distribuidora
-2.4445292,-54.7028857,Mercantil E Distribuidora De Gelo Bianca
-2.4526293,-54.7546192,Distribuidora do Preto
-2.6870918,-54.639247,Distribuidora Vandin
-2.4237836,-54.7252524,Distribuidora Mana
-2.451984,-54.7086996,Distribuidora Nogueira
-2.4371244,-54.7266842,Distribuidora Mateus
-2.4289934,-54.7335628,Arati distribuidora
-2.4448975,-54.7447383,HM distribuidora de bebidas e Conveniências
-2.4234174,-54.7286388,Distribuidora É pra já
-2.4244543,-54.7412462,EBD Distribuidora - Santarém/PA
-2.4283224,-54.7457544,Mercearia e distribuidora 3 irmãos (Pelota)
-2.4596153,-54.6775989,Distribuidora Nogueira
-2.4557203,-54.7196987,Distribuidora e conveniência Santos & Pacheco
-4.2699589,-55.977584,distribuidora rodrigues
-4.7014802,-55.9985101,Deise Distribuidora
-2.4423407,-54.7480477,RL DISTRIBUIDORA
-2.6194128,-54.7320589,Distribuidora M & M - Atacado e Varejo
-2.4337222,-54.7087077,Distribuidora Jr Salgadinhos Micos
-4.2902087,-55.9575777,SOUSA GÁS E ÁGUA DISTRIBUIDORA
-2.4474356,-54.7526344,Empório Distribuidora
-4.2520486,-55.9950829,Distribuidora do vovô
-2.4293171,-54.7362799,Distribuidora de Gêneros Alimentícios Nordeste
-4.2617661,-55.9916711,RAPIDÃO DISTRIBUIDORA DE BEBIDAS
-2.6348247,-54.9350112,Distribuidora Freitas
-2.4235784,-54.7234556,Cerealista Distribuidora Badú
-2.4760142,-54.6857648,DISTRIBUIDORA TODODIA
-3.7218907,-53.7403061,Alves Distribuidora
-2.4261077,-54.736118,Superdel Distribuidora
-4.2735894,-55.9873853,D' Castro Distribuidora
-4.2676242,-55.9811729,Distribuidora de Bebidas Natureza
-3.8686625,-54.2159549,Distribuidora de bebidas rei do gelo
-3.599902,-55.3247442,Distribuidora e Bar do Mengão
-3.8683306,-54.2130606,Distribuidora imperio placas
-4.2402849,-55.9780374,Sallon Distribuidora
-3.8663072,-54.2181137,Distribuidora e conveniência Cloth Beer
-3.8679461,-54.2136351,Distribuidora Lozano
-4.1948958,-55.4884189,Distribuidora rio verde
-4.0967395,-54.9072377,Estação Beer Distribuidora
-4.1963766,-55.4880467,Distribuidora c.braz
-3.8671899,-54.2136335,DISTRIBUIDORA NO PONTO
-4.100695,-54.9095728,Distribuidora Nazaré
-3.8830902,-54.3782322,Distribuidora fênix
-4.1065144,-54.9121547,Distribuidora Duff Beer
-3.8830326,-54.3765929,"Espetinho e Distribuidora ""Tô no trabalho"""
-3.8703502,-54.2209266,Distribuidora de Bebidas e Água - BH
-4.1117435,-54.9085618,Distribuidora Saraiva
-3.6054475,-55.3269782,Distribuidora Marques
-4.0960306,-54.9051156,DISTRIBUIDORA SARAIVA
-4.0942727,-54.9057214,Distribuidora Canto Frio
-4.1122282,-54.9109883,Distribuidora Maranhão
-3.6069322,-55.3306585,Distribuidora de Bebidas San&San
-4.0874227,-54.8918384,Distribuidora Alves
-9.9313771,-67.8336088,Bruno Distribuidora
-8.8324719,-69.2674933,Distribuidora AGS
-9.9477079,-67.8832847,Distribuidora Aqui Tem
-10.9396138,-69.5667277,HD Distribuidora
-10.937497,-69.5548217,Distribuidora Tapioca
-7.6130362,-72.6742272,Biroska Distribuidora
-7.623563,-72.6778209,Distribuidora Cristal
-10.9391799,-69.5619357,Mercearia e distribuidora GONÇALVES
-7.626391,-72.6762189,Conveniência e Distribuidora Pedão
-7.6539134,-72.6486713,Distribuidora RC
-8.1568653,-70.7741184,CERVA EM CASA DISTRIBUIDORA
-7.606845,-72.9091017,Distribuidora avenida
-7.6289175,-72.6783407,Distribuidora Lima
-9.4405913,-70.488056,Distribuidora Altas Horas
-9.434785,-71.8864524,Distribuidora Like Beer JD
-8.9438278,-72.7885768,Distribuidora da hora
-25.504898,-49.232986,Campestre Distribuidora Doces Chocolates Guloseimas Balas e Pirulitos em geral ltda
-15.5981094,-56.0881836,Vira Copo Bar e Distribuidora
-15.6218133,-56.1699385,Distribuidora e Hamburgueria Saideira Burguer & Beer
-15.4603677,-55.7486982,Raru Mercado e Distribuidora de bebidas
-3.7625629,-38.6527594,DISTRIBUIDORA DE ALIMENTOS
-15.6612751,-56.1353302,Distribuidora de Bebidas & Gas Vira Lata
-16.6956082,-49.27742,Distribuidora de alimentos
-15.6750023,-56.1856176,Distribuidora Divina
-2.8648756,-67.7749177,Material de Construção e Distribuidora Júlia
-12.5662129,-55.7439266,"Distribuidora Borges - Disk gás, Disk Bebidas, Gelo, Carvão"
-13.544515,-58.8164466,Pit Stop Distribuidora
-2.8619421,-67.7754901,Distribuidora Érica
-5.8777007,-35.2122805,CDA Distribuidora
-15.580205,-56.0388124,Distribuidora Dois Irmãos
-14.7294712,-57.0477826,Marcellu's Distribuidora
-23.7811471,-53.3266263,N R Distribuidora de Bebidas
-12.1244182,-58.000546,Brasfest Distribuidora
-15.5864674,-56.0622048,Mercearia e distribuidora A&F
-20.2987295,-40.3959871,Léo Distribuidora
-15.585629,-56.0588553,Distribuidora Mias'Bar
-15.6740536,-56.1556541,CBC Distribuidora
-15.6448305,-56.1047914,Sakura Distribuidora de Bebidas
-12.7591409,-56.3775365,BR Mercearia e Distribuidora
-25.4490839,-49.1709113,JS Distribuidora de bebidas Pinhais
-14.7778269,-57.2774952,MT distribuidora de gás e bebidas
-15.0696082,-57.1821567,Distribuidora Scolari
-15.6481588,-56.0337763,Adega Distribuidora
-15.6412053,-56.1669277,Ale Distribuidora de Bebidas
-15.6303036,-56.070503,Neo Distribuidora Mato Grosso
-15.5556215,-56.0192416,Arena Mercado e Distribuidora de Bebidas
-14.384117,-56.39419,Bebfest distribuidora de bebidas
-15.580886,-56.0881969,Estrela Distribuidora
-15.3290304,-57.2049056,GASPAR BEBIDAS E DISTRIBUIDORA
-15.6310083,-56.0522466,Barros - Comércio e Distribuidora de bebidas
-15.6106642,-56.1081217,Distribuidora Ipanema
-23.4610982,-45.0621381,J.R. Distribuidora de Bebidas
-16.7603989,-49.3348943,Extreme distribuidora de bebidas
-16.6856288,-43.8715548,Distribuidora Nova Geração - Montes Claros
-12.7360048,-56.5177551,Distribuidora Bebidas Minosso
-15.6728021,-56.0910569,Junior distribuidora de bebidas
-15.6150521,-56.1251559,Distribuidora e Conveniência Sutil
-15.595709,-56.1038935,VACA BRABA DISTRIBUIDORA
-15.639844,-56.1019143,Distribuidora & Conveniência Vitória
-21.7390196,-43.3627473,Alba Distribuidora
-20.3898057,-40.3255167,Distribuidora Vila Velha de Bebidas EIRELI
-19.8125824,-43.9558022,distribuidora AF
-15.5829277,-56.0652434,Pantanal Distribuidora
-15.6129668,-56.1317046,DISTRIBUIDORA VELOZ
-15.569893,-56.0855785,Brota Aqui distribuidora
-15.6318651,-56.0503577,Safra Distribuidora de Alimentos
-14.6352028,-57.4951246,Barão Bebidas distribuidora
-15.5381038,-56.0699758,Distribuidora BV
-14.7815167,-57.289181,Império Distribuidora
